epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
261.0,31.0,120.0,1872.0,10000.0,83.333336,33.0,33.0,31.303362,0.01,0.05,,,
368.0,185.0,417.0,3750.0,20000.0,47.96163,200.0,116.5,0.31275252,0.01,0.05,,,
442.0,142.0,671.0,5622.0,30000.0,44.70939,129.0,120.666664,0.11474739,0.01,0.05,,,
495.0,150.0,918.0,7500.0,40000.0,43.572987,200.0,140.5,0.07687582,0.01,0.05,,,
558.0,193.0,1178.0,9372.0,50000.0,42.44482,200.0,152.4,0.18045391,0.01,0.05,,,
611.0,177.0,1408.0,11250.0,60000.0,42.613636,200.0,160.33333,0.11599968,0.01,0.05,,,
675.0,17.0,1655.0,13122.0,70000.0,42.296074,200.0,166.0,290.17444,0.01,0.05,,,
726.0,5.0,1913.0,15000.0,80000.0,41.819134,12.0,146.75,535.40247,0.01,0.05,,,
781.0,137.0,2156.0,16872.0,90000.0,41.74397,200.0,152.66667,0.18434401,0.01,0.05,,,
832.0,124.0,2306.0,18750.0,100000.0,43.365135,200.0,157.4,0.038514134,0.01,0.05,,,
