epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,1.0,,,
212.0,9.0,1473.0,1872.0,10000.0,6.788866,200.0,200.0,3.0206587,0.1,0.05,,,
288.0,22.0,4343.0,3750.0,20000.0,4.6051116,75.0,137.5,118.74353,0.1,0.05,,,
372.0,98.0,7213.0,5622.0,30000.0,4.1591573,139.0,138.0,1.6987513,0.1,0.05,,,
441.0,2.0,10073.0,7500.0,40000.0,3.9710116,200.0,153.5,129.12685,0.1,0.05,,,
495.0,48.0,12934.0,9372.0,50000.0,3.86578,200.0,162.8,2.389412,0.1,0.05,,,
551.0,42.0,15817.0,11250.0,60000.0,3.793387,200.0,169.0,14.609106,0.1,0.05,,,
602.0,31.0,18667.0,13122.0,70000.0,3.749933,200.0,173.42857,209.97256,0.1,0.05,,,
656.0,30.0,21568.0,15000.0,80000.0,3.7091987,200.0,176.75,249.46469,0.1,0.05,,,
708.0,160.0,24442.0,16872.0,90000.0,3.6821864,200.0,179.33333,0.29241848,0.1,0.05,,,
763.0,98.0,27314.0,18750.0,100000.0,3.6611261,200.0,181.4,1.7187873,0.1,0.05,,,
